"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P6,P1,P2,P5";"PUZ";4;"CONN_01X05";;;
2;"J6,J5";"Pin_Header_Straight_1x10";2;"MODULE_HEADER";;;
3;"AE1";"ANTENNA-SMT-2.45GHz";1;"ANTENNA";;;
4;"D1";"LED-0603";1;"BLUE";;;
5;"D2";"LED-0603";1;"RED";;;
6;"J1,J2";"Pin_Header_Straight_1x02";2;"CONN_01X02";;;
7;"J4";"MODULE_HEADER_TESSEL";1;"MODULE_HEADER";;;
8;"P3,P4";"PUZ_HALF";2;"CONN_01X02";;;
9;"U1";"TSSOP-8_3x3mm_Pitch0.65mm";1;"CAT24C02YI-GT3A";;;
10;"U2";"UDFN4_1EP";1;"NCP103AMX330";;;
11;"U3";"QFN-48-1EP";1;"nRF51822-QF";;;
12;"C1,C6";"SMD-0603-C";2;"4.7uF";;;
13;"C2";"SMD-0402-C";1;"100nF";;;
14;"C3";"SMD-0402-C";1;"1nF";;;
15;"C4,C8";"SMD-0402-C";2;"8pF";;;
16;"C5,C9";"SMD-0402-C";2;"12pF";;;
17;"C7,C13";"SMD-0402-C";2;"100nF 10% X7R";;;
18;"C10";"SMD-0603-C";1;"4.7uF 10% X5R";;;
19;"C12";"SMD-0402-C";1;"2.2nF";;;
20;"C14";"SMD-0402-C";1;"2.2pF +/-0.1pF NPO";;;
21;"C15";"SMD-0402-C";1;"1pF +/-0.1pF NPO";;;
22;"C16";"SMD-0402-C";1;"1nF 10% X7R";;;
23;"C17";"SMD-0603-C";1;"1.0uF 10% X7R";;;
24;"C18";"SMD-0402-C";1;"1.5pF +/-0.1pF NPO";;;
25;"L1";"SMD-0402-R";1;"10nH 5% HF";;;
26;"L2";"SMD-0402-R";1;"4.7nH 5% HF";;;
27;"L3";"SMD-0603-R";1;"LBMF1608T100K";;;
28;"L4";"SMD-0402-R";1;"CW100505-15NJ";;;
29;"L5";"SMD-0402-R";1;"3.3nH 5% HF";;;
30;"R1";"SMD-0402-R";1;"619kR 1%";;;
31;"R2";"SMD-0402-R";1;"100kR 1%";;;
32;"R3,R5,R6";"SMD-0402-R";3;"1kR";;;
33;"R4";"SMD-0402-R";1;"100kR";;;
34;"R7,R10,R11";"SMD-0402-R";3;"0R DNP";;;
35;"R8,R9,R12,R13";"SMD-0402-R";4;"10kR DNP";;;
36;"C11";"SMD-0402-C";1;"47nF 10% X7R";;;
37;"J3";"CONN_02x05_0.05in";1;"CONN_02X05";;;
38;"SW1";"TL1015AF160QG";1;"TL1015AF160QG";;;
39;"X1";"CX2520DB";1;"CX2520DB16000D0GEJCC";;;
40;"X2";"FC-135";1;"SC32S-12.5PF20PPM";;;
